Method,Trial,Size,Threshold,Time
Sequential,0,1000,0,1.186531
ForcedParallel,0,1000,0,0.364426
ConditionalParallelInitial,0,1000,5000,0.349182
ConditionalParallelThreshold,0,1000,1000,0.308780
ConditionalParallelThreshold,0,1000,5000,0.324690
ConditionalParallelThreshold,0,1000,10000,0.300916
ConditionalParallelThreshold,0,1000,50000,0.278248
ConditionalParallelThreshold,0,1000,100000,0.324512
ConditionalParallelThreshold,0,1000,500000,0.409116
ConditionalParallelThreshold,0,1000,1000000,1.207907
Sequential,1,1000,0,1.259444
ForcedParallel,1,1000,0,0.255464
ConditionalParallelInitial,1,1000,5000,0.378409
ConditionalParallelThreshold,1,1000,1000,0.298052
ConditionalParallelThreshold,1,1000,5000,0.338507
ConditionalParallelThreshold,1,1000,10000,0.337059
ConditionalParallelThreshold,1,1000,50000,0.276537
ConditionalParallelThreshold,1,1000,100000,0.244590
ConditionalParallelThreshold,1,1000,500000,0.312096
ConditionalParallelThreshold,1,1000,1000000,1.189098
Sequential,2,1000,0,1.127696
ForcedParallel,2,1000,0,0.381202
ConditionalParallelInitial,2,1000,5000,0.285677
ConditionalParallelThreshold,2,1000,1000,0.325960
ConditionalParallelThreshold,2,1000,5000,0.267142
ConditionalParallelThreshold,2,1000,10000,0.250857
ConditionalParallelThreshold,2,1000,50000,0.254947
ConditionalParallelThreshold,2,1000,100000,0.221642
ConditionalParallelThreshold,2,1000,500000,0.309441
ConditionalParallelThreshold,2,1000,1000000,1.291112
Sequential,3,1000,0,1.194820
ForcedParallel,3,1000,0,0.307831
ConditionalParallelInitial,3,1000,5000,0.375103
ConditionalParallelThreshold,3,1000,1000,0.265988
ConditionalParallelThreshold,3,1000,5000,0.311951
ConditionalParallelThreshold,3,1000,10000,0.309905
ConditionalParallelThreshold,3,1000,50000,0.339438
ConditionalParallelThreshold,3,1000,100000,0.327641
ConditionalParallelThreshold,3,1000,500000,0.324007
ConditionalParallelThreshold,3,1000,1000000,1.115660
Sequential,4,1000,0,1.027748
ForcedParallel,4,1000,0,0.376803
ConditionalParallelInitial,4,1000,5000,0.302312
ConditionalParallelThreshold,4,1000,1000,0.268101
ConditionalParallelThreshold,4,1000,5000,0.293805
ConditionalParallelThreshold,4,1000,10000,0.271460
ConditionalParallelThreshold,4,1000,50000,0.227452
ConditionalParallelThreshold,4,1000,100000,0.278798
ConditionalParallelThreshold,4,1000,500000,0.255217
ConditionalParallelThreshold,4,1000,1000000,1.198739
Sequential,5,1000,0,1.239324
ForcedParallel,5,1000,0,0.306037
ConditionalParallelInitial,5,1000,5000,0.324407
ConditionalParallelThreshold,5,1000,1000,0.305480
ConditionalParallelThreshold,5,1000,5000,0.364934
ConditionalParallelThreshold,5,1000,10000,0.262080
ConditionalParallelThreshold,5,1000,50000,0.340370
ConditionalParallelThreshold,5,1000,100000,0.278197
ConditionalParallelThreshold,5,1000,500000,0.312065
ConditionalParallelThreshold,5,1000,1000000,1.020111
Sequential,6,1000,0,1.360066
ForcedParallel,6,1000,0,0.336446
ConditionalParallelInitial,6,1000,5000,0.294982
ConditionalParallelThreshold,6,1000,1000,0.324473
ConditionalParallelThreshold,6,1000,5000,0.334075
ConditionalParallelThreshold,6,1000,10000,0.277317
ConditionalParallelThreshold,6,1000,50000,0.274578
ConditionalParallelThreshold,6,1000,100000,0.250128
ConditionalParallelThreshold,6,1000,500000,0.240970
ConditionalParallelThreshold,6,1000,1000000,1.283875
Sequential,7,1000,0,1.528933
ForcedParallel,7,1000,0,0.281534
ConditionalParallelInitial,7,1000,5000,0.421498
ConditionalParallelThreshold,7,1000,1000,0.306504
ConditionalParallelThreshold,7,1000,5000,0.319515
ConditionalParallelThreshold,7,1000,10000,0.331261
ConditionalParallelThreshold,7,1000,50000,0.306965
ConditionalParallelThreshold,7,1000,100000,0.268531
ConditionalParallelThreshold,7,1000,500000,0.361721
ConditionalParallelThreshold,7,1000,1000000,1.156158
Sequential,8,1000,0,1.172554
ForcedParallel,8,1000,0,0.297241
ConditionalParallelInitial,8,1000,5000,0.239946
ConditionalParallelThreshold,8,1000,1000,0.327817
ConditionalParallelThreshold,8,1000,5000,0.331933
ConditionalParallelThreshold,8,1000,10000,0.364695
ConditionalParallelThreshold,8,1000,50000,0.273072
ConditionalParallelThreshold,8,1000,100000,0.315055
ConditionalParallelThreshold,8,1000,500000,0.270944
ConditionalParallelThreshold,8,1000,1000000,1.151053
Sequential,9,1000,0,1.177557
ForcedParallel,9,1000,0,0.319490
ConditionalParallelInitial,9,1000,5000,0.305828
ConditionalParallelThreshold,9,1000,1000,0.261561
ConditionalParallelThreshold,9,1000,5000,0.267751
ConditionalParallelThreshold,9,1000,10000,0.309723
ConditionalParallelThreshold,9,1000,50000,0.277011
ConditionalParallelThreshold,9,1000,100000,0.336325
ConditionalParallelThreshold,9,1000,500000,0.430872
ConditionalParallelThreshold,9,1000,1000000,1.175893
